model,state,best epoch,test loss,TP_image,TN_image,FN_image,FP_image,precision_image,recall_image,F1_image,accuracy_image,AUROC_image,AUPRC_image,TP_patient,TN_patient,FN_patient,FP_patient,precision_patient,recall_patient,F1_patient,accuracy_patient,AUROC_patient,AUPRC_patient
vgg19bn,scratch,16,0.0507,35,40,7,22,0.61404,0.83333,0.70707,0.72115,0.74808,0.56101,26,16,6,10,0.72222,0.81250,0.76471,0.72414,0.72356,0.70338
shufflenet10,scratch,17,0.0532,21,46,21,16,0.56757,0.50000,0.53165,0.64423,0.69624,0.59235,18,21,14,5,0.78261,0.56250,0.65455,0.67241,0.71875,0.78002
shufflenet20,scratch,9,0.0514,16,52,26,10,0.61538,0.38095,0.47059,0.65385,0.74040,0.63985,12,21,20,5,0.70588,0.37500,0.48980,0.56897,0.71755,0.75891
wide_resnet101_2,scratch,49,0.0539,17,46,25,16,0.51515,0.40476,0.45333,0.60577,0.68702,0.58021,15,20,17,6,0.71429,0.46875,0.56604,0.60345,0.71394,0.76747
resnet101,scratch,51,0.0535,26,38,16,24,0.52000,0.61905,0.56522,0.61538,0.68280,0.63824,21,17,11,9,0.70000,0.65625,0.67742,0.65517,0.71274,0.78274
googlenet,scratch,99,0.0547,26,41,16,21,0.55319,0.61905,0.58427,0.64423,0.72273,0.62825,20,19,12,7,0.74074,0.62500,0.67797,0.67241,0.71154,0.75191
vgg11bn,pretrained,98,0.0512,16,58,26,4,0.80000,0.38095,0.51613,0.71154,0.74731,0.73132,13,25,19,1,0.92857,0.40625,0.56522,0.65517,0.69952,0.79532
wide_resnet50_2,scratch,31,0.0586,22,37,20,25,0.46809,0.52381,0.49438,0.56731,0.65822,0.54872,19,16,13,10,0.65517,0.59375,0.62295,0.60345,0.68990,0.77336
mobilenet,scratch,55,0.0516,13,56,29,6,0.68421,0.30952,0.42623,0.66346,0.69048,0.62384,11,25,21,1,0.91667,0.34375,0.50000,0.62069,0.68269,0.76816
mnasnet10,scratch,0,0.0596,42,0,0,62,0.40385,1.00000,0.57534,0.40385,0.50000,0.40385,32,0,0,26,0.55172,1.00000,0.71111,0.55172,0.50000,0.55172
mnasnet075,scratch,0,0.0596,0,62,42,0,,,,0.59615,0.50000,0.40385,0,26,32,0,,,,0.44828,0.50000,0.55172
mnasnet13,scratch,0,0.0596,42,0,0,62,0.40385,1.00000,0.57534,0.40385,0.50000,0.40385,32,0,0,26,0.55172,1.00000,0.71111,0.55172,0.50000,0.55172
mnasnet05,scratch,0,0.059,0,62,42,0,,,,0.59615,0.50000,0.40385,0,26,32,0,,,,0.44828,0.50000,0.55172
